10.0745,,
"g103","h103",1
"g142","h142",1
"g22","h22",1
"g169","h169",0.990114
"g7","h7",0.984648
"g116","h117",0.98001
"g20","h21",0.972506
"g166","h162",0.969195
"g174","h174",0.96678
"g28","h25",0.964088
"g53","h51",0.961541
"g37","h32",0.961388
"g123","h123",0.958234
"g106","h107",0.954588
"g73","h73",0.954209
"g95","h101",0.954116
"g19","h18",0.95382
"g68","h87",0.950494
"g150","h153",0.949326
"g131","h161",0.946096
"g54","h110",0.937734
"g46","h118",0.937734
"g63","h63",0.932344
"g12","h5",0.931352
"g65","h31",0.929845
"g24","h127",0.927314
"g56","h55",0.926232
"g137","h137",0.92356
"g43","h44",0.923038
"g133","h160",0.922529
"g52","h115",0.922044
"g51","h60",0.916516
"g120","h125",0.912207
"g35","h68",0.903871
"g105","h132",0.90233
"g112","h109",0.901711
"g154","h155",0.89893
"g119","h124",0.898653
"g42","h56",0.89063
"g173","h173",0.888986
"g164","h135",0.884854
"g128","h128",0.882942
"g32","h129",0.878578
"g157","h6",0.877423
"g172","h145",0.877191
"g59","h122",0.876526
"g45","h156",0.873076
"g30","h28",0.87189
"g8","h30",0.869622
"g91","h72",0.868644
"g6","h152",0.863599
"g1","h131",0.860218
"g92","h104",0.851962
"g155","h120",0.847566
"g90","h90",0.845806
"g108","h106",0.822251
"g139","h138",0.82207
"g167","h20",0.813515
"g130","h130",0.795234
"g109","h93",0.793114
"g115","h116",0.781862
"g16","h12",0.745638
"g14","h171",0.687009
"g125","h8",0.681904
"g74","h74",0.678492
"g17","h14",0.659007
"g126","h43",0.644468
"g23","h23",0.634079
"g81","h17",0.623758
"g71","h71",0.617906
"g82","h82",0.607243
"g13","h13",0.606327
"g70","h70",0.594328
"g58","h58",0.588709
