34.09,,
"g70","h70",0.713643
"g46","h155",0.6
"g7","h161",0.6
"g169","h125",0.6
"g95","h153",0.6
"g166","h18",0.6
"g116","h169",0.6
"g174","h137",0.6
"g68","h142",0.6
"g19","h25",0.6
"g20","h128",0.6
"g22","h160",0.6
"g65","h7",0.6
"g24","h162",0.6
"g28","h87",0.6
"g54","h123",0.6
"g53","h63",0.6
"g103","h117",0.6
"g37","h110",0.6
"g131","h51",0.593022
"g142","h31",0.593022
"g12","h124",0.589163
"g73","h115",0.584753
"g52","h127",0.582448
"g42","h145",0.579945
"g133","h32",0.576386
"g120","h101",0.576386
"g150","h22",0.576386
"g106","h107",0.576386
"g105","h132",0.576173
"g112","h109",0.574572
"g172","h44",0.569101
"g119","h103",0.568454
"g164","h60",0.567943
"g92","h68",0.567943
"g137","h174",0.566874
"g123","h73",0.564988
"g91","h55",0.562526
"g63","h129",0.560852
"g59","h152",0.559406
"g157","h6",0.558591
"g128","h173",0.558591
"g32","h122",0.557958
"g45","h156",0.555522
"g1","h146",0.553349
"g35","h135",0.549792
"g43","h56",0.546033
"g56","h118",0.540678
"g154","h21",0.540678
"g8","h138",0.539013
"g30","h130",0.538856
"g51","h104",0.536551
"g6","h5",0.531083
"g155","h120",0.530757
"g139","h30",0.516315
"g173","h106",0.516061
"g167","h134",0.513479
"g108","h28",0.508566
"g130","h102",0.498883
"g109","h93",0.495011
"g90","h90",0.491157
"g115","h72",0.490489
"g16","h96",0.446617
"g125","h157",0.44302
"g14","h171",0.437641
"g126","h121",0.398194
"g17","h14",0.384953
"g58","h13",0.382559
"g23","h81",0.376354
"g81","h23",0.375077
"g74","h74",0.373053
"g82","h71",0.35058
"g13","h43",0.347457
"g71","h17",0.346704
